source,Konya,Kayseri,Trabzon,Gaziantep,Antalya,Samsun,Eskişehir,Diyarbakır
İstanbul,550,770,1100,1130,730,730,335,1400
Ankara,260,340,780,660,545,420,235,940
İzmir,560,760,1350,980,440,1100,535,1250
Bursa,510,730,1000,1060,680,660,155,1330
Adana,340,330,870,220,555,760,750,430
